168	68
157	374
80	582
144	618
288	538
287	311
318	452
325	731
438	780
497	973
602	756
489	676
416	581
486	531
445	414
544	341
609	314
437	80
613	356
646	356
634	306
643	278
652	254
646	224
805	17
941	91
906	248
891	269
933	266
924	292
941	319
944	349
940	384
667	541
745	578
827	483
876	507
894	650
1026	498
1090	680
1122	665
1151	652
1189	475
1170	263
1078	64
1327	133
1378	850
1453	628
1431	524
1410	483
1417	447
1451	452
1461	457
1466	503
1529	589
1528	615
1546	605
1531	508
1521	477
1524	444
1565	464
1539	423
1468	213
1532	330
1557	351
1535	291
1562	251
1583	280
1603	319
1595	237
1781	498
1793	259
1745	102
